Applicant_Gender,Owned_Car,Owned_Realty,Total_Children,Total_Income,Income_Type,Education_Type,Family_Status,Housing_Type,Owned_Mobile_Phone,Owned_Work_Phone,Owned_Phone,Owned_Email,Job_Title,Total_Family_Members,Applicant_Age,Years_of_Working,Total_Bad_Debt,Total_Good_Debt,Status
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,0,22,1
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,0,11,1
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,0,20,1
F,0,1,2,126000,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,4,34,5,0,40,1
F,0,1,0,247500,Commercial associate,"Higher education    ","Separated     ","Rented apartment    ",1,0,0,0,"Core staff    ",1,47,4,0,6,1
F,0,1,0,247500,Commercial associate,"Higher education    ","Separated     ","Rented apartment    ",1,0,0,0,"Core staff    ",1,47,4,0,5,1
F,0,1,0,247500,Commercial associate,"Higher education    ","Separated     ","Rented apartment    ",1,0,0,0,"Core staff    ",1,47,4,0,6,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,8,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,37,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,37,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,35,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,21,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,21,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,20,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,20,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,20,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,20,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,20,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,20,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,18,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,17,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,16,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,15,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,14,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,13,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,13,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,13,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,13,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,11,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,10,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,1,9,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,8,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,7,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,6,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,6,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,6,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,5,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,5,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,4,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,2,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,2,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,1,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,2,1
F,0,1,0,297000,Commercial associate,"Secondary / secondary special   ",Single / not married,"Rented apartment    ",1,0,0,0,Laborers,1,43,9,0,8,1
F,0,0,0,157500,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,1,0,"High skill tech staff     ",2,38,14,3,13,1
F,0,0,0,157500,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,1,0,"High skill tech staff     ",2,38,14,0,15,1
F,0,0,0,157500,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,1,0,"High skill tech staff     ",2,38,14,3,13,1
F,0,0,0,157500,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,1,0,"High skill tech staff     ",2,38,14,3,13,1
F,0,0,0,157500,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,1,0,"High skill tech staff     ",2,38,14,3,13,1
M,0,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,"Drivers ",2,43,4,0,13,1
M,0,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,"Drivers ",2,43,4,0,13,1
M,0,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,"Drivers ",2,43,4,0,1,1
M,0,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,"Drivers ",2,43,4,0,13,1
F,1,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,5,0,5,1
F,1,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,5,0,40,1
F,1,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,5,0,40,1
F,1,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,5,0,4,1
F,1,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,5,0,16,1
F,1,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,5,0,29,1
F,1,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,5,0,27,1
F,1,1,0,135000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,49,5,0,39,1
M,1,1,0,112500,"State servant ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,58,7,0,11,1
M,1,1,0,112500,"State servant ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,58,7,0,12,1
M,1,1,0,112500,"State servant ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,58,7,0,59,1
M,1,1,0,112500,"State servant ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,58,7,0,11,1
M,1,1,0,112500,"State servant ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,58,7,0,11,1
M,1,1,0,112500,"State servant ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,1,0,"Drivers ",2,58,7,0,17,1
F,1,1,0,270000,"Working ","Secondary / secondary special   ","Separated     ","House / apartment   ",1,1,1,0,Cleaning staff,1,46,4,0,29,1
F,1,1,0,270000,"Working ","Secondary / secondary special   ","Separated     ","House / apartment   ",1,1,1,0,Cleaning staff,1,46,4,0,7,1
F,1,1,0,270000,"Working ","Secondary / secondary special   ","Separated     ","House / apartment   ",1,1,1,0,Cleaning staff,1,46,4,0,18,1
F,1,1,0,270000,"Working ","Secondary / secondary special   ","Separated     ","House / apartment   ",1,1,1,0,Cleaning staff,1,46,4,0,20,1
F,1,1,0,270000,"Working ","Secondary / secondary special   ","Separated     ","House / apartment   ",1,1,1,0,Cleaning staff,1,46,4,0,19,1
F,1,1,0,270000,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,2,30,3,0,4,1
F,1,1,0,270000,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,1,Managers,2,30,3,0,4,1
M,1,1,0,157500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,"Drivers ",2,28,3,0,23,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,7,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,7,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,7,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,11,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,11,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,7,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,11,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,7,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,6,1
M,0,1,0,166500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,1,1,0,Laborers,2,52,18,0,7,1
F,1,1,0,270000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,1,Laborers,2,55,30,0,22,1
F,1,1,0,225000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,40,8,1,10,1
F,1,1,0,225000,Commercial associate,"Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,Laborers,2,40,8,0,16,1
F,0,1,0,315000,"Working ","Secondary / secondary special   ",Single / not married,"House / apartment   ",1,0,0,0,"Accountants   ",1,29,4,0,14,1
F,0,1,0,315000,"Working ","Secondary / secondary special   ",Single / not married,"House / apartment   ",1,0,0,0,"Accountants   ",1,29,4,0,14,1
F,0,1,2,157500,"Working ","Secondary / secondary special   ",Single / not married,"House / apartment   ",1,0,0,0,"Core staff    ",3,40,2,0,9,1
F,0,1,2,157500,"Working ","Secondary / secondary special   ",Single / not married,"House / apartment   ",1,0,0,0,"Core staff    ",3,40,2,0,4,1
F,0,1,0,148500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,0,"Core staff    ",2,49,3,0,21,1
F,0,1,0,148500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,0,"Core staff    ",2,49,3,0,19,1
F,0,1,0,148500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,0,"Core staff    ",2,49,3,1,14,1
F,0,1,0,148500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,0,"Core staff    ",2,49,3,1,14,1
F,0,1,0,148500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,0,"Core staff    ",2,49,3,0,8,1
F,0,1,0,148500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,0,"Core staff    ",2,49,3,0,12,1
F,0,1,2,202500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,1,"Core staff    ",4,31,7,0,14,1
F,0,1,2,202500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,1,"Core staff    ",4,31,7,1,42,1
F,0,1,2,202500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,1,"Core staff    ",4,31,7,0,48,1
F,0,1,2,202500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,1,"Core staff    ",4,31,7,0,14,1
F,0,1,2,202500,"Working ","Higher education    ","Married ","House / apartment   ",1,0,0,1,"Core staff    ",4,31,7,0,14,1
M,0,1,0,202500,"Working ","Secondary / secondary special   ",Single / not married,"House / apartment   ",1,1,0,0,"Drivers ",1,25,3,0,10,1
M,0,1,0,202500,"Working ","Secondary / secondary special   ",Single / not married,"House / apartment   ",1,1,0,0,"Drivers ",1,25,3,0,10,1
F,1,1,0,112500,Commercial associate,"Secondary / secondary special   ",Single / not married,"House / apartment   ",1,0,1,1,"Private service staff     ",1,21,3,0,1,1
M,1,1,0,315000,"Working ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Sales staff   ",2,29,6,0,38,1
M,1,1,0,315000,"Working ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Sales staff   ",2,29,6,0,28,1
M,1,1,0,315000,"Working ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Sales staff   ",2,29,6,0,5,1
M,1,1,0,315000,"Working ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Sales staff   ",2,29,6,0,11,1
M,1,1,0,315000,"Working ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Sales staff   ",2,29,6,0,16,1
M,1,1,0,315000,"Working ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Sales staff   ",2,29,6,0,5,1
M,1,1,0,315000,"Working ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Sales staff   ",2,29,6,0,23,1
M,1,1,0,315000,"Working ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Sales staff   ",2,29,6,0,36,1
M,1,1,0,315000,"Working ","Secondary / secondary special   ",Civil marriage,"House / apartment   ",1,0,0,0,"Sales staff   ",2,29,6,0,38,1
F,1,1,0,270000,Commercial associate,"Incomplete higher   ",Civil marriage,"Municipal apartment ",1,0,1,1,"High skill tech staff     ",2,29,9,0,21,1
F,1,1,0,270000,Commercial associate,"Incomplete higher   ",Civil marriage,"Municipal apartment ",1,0,1,1,"High skill tech staff     ",2,29,9,0,24,1
F,1,1,1,450000,"State servant ","Higher education    ","Married ","House / apartment   ",1,0,1,1,"Core staff    ",3,49,2,0,23,1
F,1,1,1,450000,"State servant ","Higher education    ","Married ","House / apartment   ",1,0,1,1,"Core staff    ",3,49,2,0,24,1
M,0,1,1,180000,"Working ","Secondary / secondary special   ","Married ","With parents  ",1,0,0,0,"Drivers ",3,39,4,0,31,1
F,0,1,0,112500,"Working ","Higher education    ",Civil marriage,"House / apartment   ",1,0,0,1,Laborers,2,28,9,0,44,1
F,0,1,0,112500,"Working ","Higher education    ",Civil marriage,"House / apartment   ",1,0,0,1,Laborers,2,28,9,4,12,1
F,0,1,0,112500,"Working ","Higher education    ",Civil marriage,"House / apartment   ",1,0,0,1,Laborers,2,28,9,0,17,1
M,0,1,0,90000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,"Drivers ",2,57,16,0,48,1
M,0,1,0,90000,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,"Drivers ",2,57,16,0,3,1
M,1,0,2,202500,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,0,Laborers,4,41,9,0,41,1
M,1,0,2,202500,Commercial associate,"Higher education    ","Married ","House / apartment   ",1,0,0,0,Laborers,4,41,9,0,40,1
M,1,1,0,247500,"Working ","Secondary / secondary special   ","Married ","House / apartment   ",1,0,0,0,"Drivers ",2,35,12,0,14,1
M,1,1,1,765000,"Working ","Higher education    ","Married ","House / apartment   ",1,1,0,0,Managers,3,34,4,2,2,0
M,1,1,1,765000,"Working ","Higher education    ","Married ","House / apartment   ",1,1,0,0,Managers,3,34,4,0,4,1
M,1,1,1,765000,"Working ","Higher education    ","Married ","House / apartment   ",1,1,0,0,Managers,3,34,4,0,4,1
